name,lon,lat,variable,initmonth,leadtime,mean,stdev,pval
44_41,44.0,41.0,tmn,1,6,11.019316673278809,0.9794796109199524,0.2994341254234314
44_41,44.0,41.0,tmn,2,0,-11.966503143310549,2.15796446800232,0.0939383283257484
44_41,44.0,41.0,tmn,2,1,-8.338991165161133,2.02472186088562,0.8790660500526428
44_41,44.0,41.0,tmn,2,2,-2.644308567047119,1.6202908754348757,0.1039074435830116
44_41,44.0,41.0,tmn,2,3,3.366156578063965,1.2711029052734375,0.2659484148025512
44_41,44.0,41.0,tmn,2,4,7.873432636260986,1.1206719875335691,0.0182376708835363
44_41,44.0,41.0,tmn,2,5,11.088593482971191,1.0306065082550049,0.2994341254234314
44_41,44.0,41.0,tmn,2,6,11.124189376831056,0.94929701089859,0.5547533631324768
44_41,44.0,41.0,tmn,3,0,-6.735326766967773,2.1108648777008057,0.8790660500526428
44_41,44.0,41.0,tmn,3,1,-2.2357003688812256,1.7201632261276243,0.1039074435830116
44_41,44.0,41.0,tmn,3,2,3.636732816696167,1.2424148321151731,0.2659484148025512
44_41,44.0,41.0,tmn,3,3,7.930746555328369,1.080282211303711,0.0182376708835363
44_41,44.0,41.0,tmn,3,4,11.22022819519043,0.9953200221061708,0.2994341254234314
44_41,44.0,41.0,tmn,3,5,11.312336921691896,0.9569398760795592,0.5547533631324768
44_41,44.0,41.0,tmn,3,6,7.372766017913818,1.223454236984253,0.5993038415908813
44_41,44.0,41.0,tmn,4,0,-1.382672557715914,1.598875928142717,0.1039074435830116
44_41,44.0,41.0,tmn,4,1,4.075969216970004,1.4817620135436569,0.2659484148025512
44_41,44.0,41.0,tmn,4,2,8.31303365582764,1.41779122044888,0.0182376708835363
44_41,44.0,41.0,tmn,4,3,11.571641152874472,1.2818176022993335,0.2994341254234314
44_41,44.0,41.0,tmn,4,4,11.568380890077243,1.254609484936205,0.5547533631324768
44_41,44.0,41.0,tmn,4,5,7.641334067322156,1.4038291295850092,0.5993038415908813
44_41,44.0,41.0,tmn,4,6,2.7988308798390893,1.6038031135377813,0.057897999882698
44_41,44.0,41.0,tmn,5,0,4.121991157531738,1.051505446434021,0.2659484148025512
44_41,44.0,41.0,tmn,5,1,8.12166690826416,1.059417963027954,0.0182376708835363
44_41,44.0,41.0,tmn,5,2,11.589893341064451,0.9386553764343262,0.2994341254234314
44_41,44.0,41.0,tmn,5,3,11.65639305114746,0.99470055103302,0.5547533631324768
44_41,44.0,41.0,tmn,5,4,7.641559600830078,1.234504461288452,0.5993038415908813
44_41,44.0,41.0,tmn,5,5,2.69045639038086,1.6124496459960938,0.057897999882698
44_41,44.0,41.0,tmn,5,6,-4.291258811950684,2.4072885513305664,0.1442037969827652
44_41,44.0,41.0,tmn,6,0,8.189995765686035,1.0955076217651367,0.0182376708835363
44_41,44.0,41.0,tmn,6,1,11.6552152633667,0.9817597270011902,0.2994341254234314
44_41,44.0,41.0,tmn,6,2,11.779022216796877,0.9553618431091307,0.5547533631324768
44_41,44.0,41.0,tmn,6,3,7.579897880554199,1.1848444938659668,0.5993038415908813
44_41,44.0,41.0,tmn,6,4,2.677074909210205,1.583336353302002,0.057897999882698
44_41,44.0,41.0,tmn,6,5,-4.102797508239746,2.317046403884888,0.1442037969827652
44_41,44.0,41.0,tmn,6,6,-11.114139556884766,2.41230845451355,0.4290058612823486
44_41,44.0,41.0,tmn,7,0,11.438679695129396,0.9604912996292114,0.2994341254234314
44_41,44.0,41.0,tmn,7,1,11.793292999267578,0.931675374507904,0.5547533631324768
44_41,44.0,41.0,tmn,7,2,7.659127712249756,1.2079622745513916,0.5993038415908813
